종목코드,종목명,종가,대비,시가,고가,저가,거래량,거래대금,시가총액,상장증권수,기초자산_자산명,기초자산_종가,기초자산_대비,기초자산_등락률
"58K366","KBK366케이티지콜","35","0","0","0","0","0","0","269500000","7700000","KT&G","86,800","0","0.00"
"58K367","KBK367케이티지풋","55","0","0","0","0","0","0","891000000","16200000","KT&G","86,800","0","0.00"
"58K368","KBK368고려아연콜","40","0","35","40","35","533100","21323950","364000000","9100000","고려아연","482,500","3000","0.63"
"58K369","KBK369한국전력풋","70","0","0","0","0","0","0","770000000","11000000","한국전력","19,740","0","0.00"
"58K375","KBK375KOSPI200콜","2945","0","0","0","0","0","0","14725000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K376","KBK376KOSPI200콜","2165","0","0","0","0","0","0","10825000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K377","KBK377KOSPI200콜","1990","0","0","0","0","0","0","9950000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K378","KBK378KOSPI200콜","1820","0","0","0","0","0","0","9100000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K379","KBK379KOSPI200풋","90","0","0","0","0","0","0","1035000000","11500000","코스피 200","373.86","-2.14","-0.57"
"58K380","KBK380KOSPI200풋","150","10","140","155","140","6200","904500","1650000000","11000000","코스피 200","373.86","-2.14","-0.57"
"58K381","KBK381KOSPI200풋","180","25","175","190","170","53830","9316000","900000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K382","KBK382KOSPI200풋","240","30","225","245","210","15530","3516700","1200000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K383","KBK383KOSPI200풋","500","0","0","0","0","0","0","6250000000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K384","KBK384KOSPI200풋","315","0","0","0","0","0","0","3780000000","12000000","코스피 200","373.86","-2.14","-0.57"
"58K385","KBK385KOSPI200풋","305","0","0","0","0","0","0","3507500000","11500000","코스피 200","373.86","-2.14","-0.57"
"58K386","KBK386KOSPI200풋","190","0","0","0","0","0","0","2090000000","11000000","코스피 200","373.86","-2.14","-0.57"
"58K387","KBK387KOSPI200풋","250","0","0","0","0","0","0","2750000000","11000000","코스피 200","373.86","-2.14","-0.57"
"58K388","KBK388KOSPI200풋","575","0","0","0","0","0","0","2875000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K389","KBK389KOSPI200풋","375","0","0","0","0","0","0","1875000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K390","KBK390KOSPI200풋","375","0","0","0","0","0","0","1875000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K391","KBK391KOSPI200풋","370","0","0","0","0","0","0","4625000000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K392","KBK392KOSPI200풋","250","0","0","0","0","0","0","3125000000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K393","KBK393KOSPI200풋","265","0","0","0","0","0","0","3312500000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K394","KBK394KOSPI200풋","325","0","0","0","0","0","0","3900000000","12000000","코스피 200","373.86","-2.14","-0.57"
"58K395","KBK395KOSPI200풋","555","0","0","0","0","0","0","6660000000","12000000","코스피 200","373.86","-2.14","-0.57"
"58K396","KBK396KOSPI200풋","580","0","0","0","0","0","0","6670000000","11500000","코스피 200","373.86","-2.14","-0.57"
"58K397","KBK397KOSPI200풋","655","0","0","0","0","0","0","7532500000","11500000","코스피 200","373.86","-2.14","-0.57"
"58K398","KBK398KOSPI200풋","735","0","0","0","0","0","0","8085000000","11000000","코스피 200","373.86","-2.14","-0.57"
"58K399","KBK399KOSPI200풋","535","0","0","0","0","0","0","2675000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K400","KBK400KOSPI200풋","645","0","0","0","0","0","0","3225000000","5000000","코스피 200","373.86","-2.14","-0.57"
"58K401","KBK401KOSPI200콜","830","0","0","0","0","0","0","9960000000","12000000","코스피 200","373.86","-2.14","-0.57"
"58K402","KBK402KOSPI200콜","1125","0","0","0","0","0","0","13500000000","12000000","코스피 200","373.86","-2.14","-0.57"
"58K403","KBK403KOSPI200콜","1025","0","0","0","0","0","0","12812500000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K404","KBK404KOSPI200콜","930","0","0","0","0","0","0","11625000000","12500000","코스피 200","373.86","-2.14","-0.57"
"58K405","KBK405KOSPI200콜","840","0","0","0","0","0","0","10500000000","12500000","코스피 200","373.86","-2.14","-0.57"
